Index,DAG-ID,Send-Outer,Recv-Outer,Latency,Absolute Deadline,Relative Deadline,DAG Preemptions
131,2,24311035537,24464539685,153504148,24352446685,101000000,-
131,3,24311300759,24353425537,42124778,24278346481,63000000,-
132,1,24410885129,24478532388,67647259,24398940888,85000000,-
132,2,24411034111,24564525592,153491481,24455549518,101000000,-
132,3,24411310648,24453436074,42125426,24378344351,63000000,-
133,1,24510888814,24578518592,67629778,24498936296,85000000,-
133,2,24511037777,24664529148,153491371,24554537925,101000000,-
133,3,24511303574,24553424407,42120833,24478353888,63000000,-
134,1,24610892611,24678522407,67629796,24598945166,85000000,-
134,2,24611030537,24759723444,148692907,24654600314,101000000,-
134,3,24611307518,24653432462,42124944,24578347111,63000000,-
135,1,24710893148,24773712277,62819129,24698948518,85000000,-
135,2,24711031370,24859457944,148426574,24754659962,101000000,-
135,3,24711307759,24753434222,42126463,24678351444,63000000,-
136,1,24810891296,24870604685,59713389,24798949185,85000000,-
136,2,24811029148,24959446648,148417500,24854713296,101000000,-
136,3,24811305629,24853430074,42124445,24778351259,63000000,-
137,1,24910889777,24973439462,62549685,24898945537,85000000,-
137,2,24911038537,25060570092,149531555,24951610000,101000000,-
137,3,24911304981,24953432444,42127463,24878349240,63000000,-
138,1,25010894203,25076500388,65606185,24998943814,85000000,-
138,2,25011032462,25164533611,153501149,25052450574,101000000,-
138,3,25011308462,25053433129,42124667,24978349592,63000000,-
139,1,25110890018,25178526259,67636241,25098945703,85000000,-
139,2,25111038574,25264530888,153492314,25155560814,101000000,-
139,3,25111304296,25153429333,42125037,25078352851,63000000,-
140,1,25210895648,25278524425,67628777,25198941537,85000000,-
140,2,25211033444,25359631648,148598204,25254511944,101000000,-
140,3,25211309981,25253437166,42127185,25178348407,63000000,-
141,1,25310889425,25373624944,62735519,25298951518,85000000,-
141,2,25311038388,25460560666,149522278,25354574481,101000000,-
141,3,25311304074,25353429555,42125481,25278353092,63000000,-
142,1,25410886759,25476490555,65603796,25398946444,85000000,-
142,2,25411035425,25579554444,168519019,25452447259,101000000,-
142,3,25411301055,25453423444,42122389,25378348037,63000000,-
143,1,25510892851,25573528962,62636111,25498940111,85000000,-
143,2,25511031037,25660566203,149535166,25555551296,101000000,-
143,3,25511308518,25553434740,42126222,25478344777,63000000,-
144,1,25610886333,25676481666,65595333,25598949851,85000000,-
144,2,25611035203,25764538777,153503574,25652453444,101000000,-
144,3,25611301611,25653424185,42122574,25578353574,63000000,-
145,1,25710890000,25778532481,67642481,25698942611,85000000,-
145,2,25711027981,25864523037,153495056,25755556944,101000000,-
145,3,25711305222,25753427000,42121778,25678344129,63000000,-
146,1,25810887888,25878516814,67628926,25798944277,85000000,-
146,2,25811037018,25959653814,148616796,25854535962,101000000,-
146,3,25811301740,25853423981,42122241,25778349500,63000000,-
147,1,25910885611,25973647092,62761481,25898943500,85000000,-
147,2,25911034574,26060568148,149533574,25954596444,101000000,-
147,3,25911311055,25953435129,42124074,25878345018,63000000,-
148,1,26010893185,26076500592,65607407,25998942092,85000000,-
148,2,26011030944,26179550111,168519167,26052453685,101000000,-
148,3,26011307907,26053432092,42124185,25978354518,63000000,-
149,1,26110894537,26173525777,62631240,26098946796,85000000,-
149,2,26111032611,26276620703,165588092,26155559092,101000000,-
149,3,26111308888,26153432185,42123297,26078352000,63000000,-
150,1,26210894592,26270604981,59710389,26198950444,85000000,-
150,2,26211032407,26370678648,159646241,26254534555,101000000,-
150,3,26211308666,26253431962,42123296,26178352444,63000000,-
151,1,26310894666,26370668907,59774241,26298948814,85000000,-
151,2,26311032648,26470598000,159565352,26412029444,101000000,-
151,3,26311309685,26353431907,42122222,26278350685,63000000,-
152,1,26410888833,26470588370,59699537,26398950685,85000000,-
